Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
433154 Title VI-B - Public Law 94-142,,,,,,,,"21,343,880","32,174,846",,,"32,174,846",,"26,845,597",,"26,845,597",,"26,845,597","26,845,597",,"26,845,597"
,,,,,,,,,,,,,,,,,,,,,
433158 Drug-Free Schools and Communities Act,,,,,,,,"50,481",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433161 Title II,,,,,,,,"2,596,387","3,659,667",,,"3,659,667",,"2,929,307",,"2,929,307",,"2,929,307","2,929,307",,"2,929,307"
,,,,,,,,,,,,,,,,,,,,,
433169 Carl Perkins Vocational and Applied Technology Act,,,,,,,,"831,394","919,584",,,"919,584",,"805,276",,"805,276",,"805,276","805,276",,"805,276"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433171 McKinney Homeless Education,,,,,,,,"135,612","71,375",,,"71,375",,"82,136",,"82,136",,"82,136","82,136",,"82,136"
,,,,,,,,,,,,,,,,,,,,,
433204 High Schools that Work,,,,,,,,"1,397",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433339 English Literacy - Civics Education,,,,,,,,"50,539","50,525",,,"50,525",,"57,767",,"57,767",,"57,767","57,767",,"57,767"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433430 Miscellaneous Federal Grant Revenue,,,,,,,,0,"3,500,000",,,"3,500,000",,"3,571,564",,"3,571,564",,"3,571,564","3,571,564",,"3,571,564"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433507 Teaching American History (HEART),,,,,,,,"451,198","458,510",,,"458,510",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433904 Title III,,,,,,,,"207,733","318,438",,,"318,438",,"237,472",,"237,472",,"237,472","237,472",,"237,472"
,,,,,,,,,,,,,,,,,,,,,
433905 Title V,,,,,,,,0,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
433910 Startalk Elementary Chinese,,,,,,,,"63,279","66,565",,,"66,565",,"66,565",,"66,565",,"66,565","66,565",,"66,565"
,,,,,,,,,,,,,,,,,,,,,
434210 21st Century Learning Communities,,,,,,,,0,0,,,0,,"243,847",,"243,847",,"243,847","243,847",,"243,847"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
434212 COPS - Securing Our Schools,,,,,,,,0,0,,,0,,"336,225",,"336,225",,"336,225","336,225",,"336,225"
,,,,,,,,,,,,,,,,,,,,,
435201 MY CAA - ALC,,,,,,,,"3,543","5,000",,,"5,000",,"5,000",,"5,000",,"5,000","5,000",,"5,000"
,,,,,,,,,,,,,,,,,,,,,
435202 MY CAA - LPN,,,,,,,,"10,203","15,000",,,"15,000",,"10,000",,"10,000",,"10,000","10,000",,"10,000"
,,,,,,,,,,,,,,,,,,,,,
435203 ED Jobs Funds,,,,,,,,"2,872,703","14,829,801",,,"14,829,801",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50121,,,,,,,"51,827,250",,"96,887,512",,"96,887,512",,"68,401,312","68,433,693",,"68,466,558","68,499,916",,"68,533,774"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,32,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,116 School Grants Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"51,827,250",,"96,887,512",,"96,887,512",,"68,401,312","68,433,693",,"68,466,558","68,499,916",,"68,533,774"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,116 School Grants Fund,,,,"51,827,250","96,887,512",,,"96,887,512",,"68,401,312",,"68,433,693",,"68,466,558","68,499,916",,"68,533,774"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,117 School Textbook Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50099 Textbook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"83,042","100,000",,,"100,000",,"100,000",,"101,000",,"102,010","103,030",,"104,060"
,,,,,,,,,,,,,,,,,,,,,
415132 Purchases,,,,,,,,93,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"1,787",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416117 Miscellaneous Transfers between School Funds,,,,,,,,"21,542",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416140 Lost and Damaged Textbooks,,,,,,,,"71,884","10,000",,,"10,000",,"10,000",,"10,000",,"10,000","10,000",,"10,000"
,,,,,,,,,,,,,,,,,,,,,
422192 Department of Education Subsidy,,,,,,,,"2,160,229","1,671,771",,,"1,671,771",,"3,790,074",,"3,790,074",,"3,790,074","3,790,074",,"3,790,074"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"8,490,000",,,"8,490,000",,"11,217,527",,"11,217,527",,"11,217,527","11,217,527",,"11,217,527"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50099,,,,,,,"2,338,577",,"10,271,771",,"10,271,771",,"15,117,601","15,118,601",,"15,119,611","15,120,631",,"15,121,661"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"2,338,577",,"10,271,771",,"10,271,771",,"15,117,601","15,118,601",,"15,119,611","15,120,631",,"15,121,661"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,117 School Textbook Fund,,,,"2,338,577","10,271,771",,,"10,271,771",,"15,117,601",,"15,118,601",,"15,119,611","15,120,631",,"15,121,661"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,119 School Athletic Special Revenue Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0500 Public Education,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
50025 Athletics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"11,327","45,000",,,"45,000",,"45,000",,"45,450",,"45,905","46,364",,"46,827"
,,,,,,,,,,,,,,,,,,,,,
415203 Football,,,,,,,,"266,263","260,000",,,"260,000",,"250,000",,"250,000",,"250,000","250,000",,"250,000"
,,,,,,,,,,,,,,,,,,,,,
415204 Basketball,,,,,,,,"118,604","110,000",,,"110,000",,"110,000",,"110,000",,"110,000","110,000",,"110,000"
,,,,,,,,,,,,,,,,,,,,,
415205 Wrestling,,,,,,,,"14,416","13,000",,,"13,000",,"13,000",,"13,000",,"13,000","13,000",,"13,000"
,,,,,,,,,,,,,,,,,,,,,
415206 Soccer,,,,,,,,"43,320","42,000",,,"42,000",,"42,000",,"42,000",,"42,000","42,000",,"42,000"
,,,,,,,,,,,,,,,,,,,,,
415207 Gymnastics,,,,,,,,"4,823","4,000",,,"4,000",,"4,000",,"4,120",,"4,244","4,371",,"4,502"
,,,,,,,,,,,,,,,,,,,,,
415209 Other Income,,,,,,,,"2,950",0,,,0,,"5,000",,"5,150",,"5,305","5,464",,"5,628"
,,,,,,,,,,,,,,,,,,,,,
415217 Middle Schools Income,,,,,,,,"75,808","65,000",,,"65,000",,"65,000",,"65,000",,"65,000","65,000",,"65,000"
,,,,,,,,,,,,,,,,,,,,,
416100 Virginia High School League,,,,,,,,0,"5,000",,,"5,000",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416117 Miscellaneous Transfers between School Funds,,,,,,,,"4,197,085","4,197,085",,,"4,197,085",,"4,066,642",,"4,197,085",,"4,197,085","4,197,085",,"4,197,085"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"200,000",,,"200,000",,"210,000",,"210,000",,"210,000","210,000",,"210,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 50025,,,,,,,"4,734,596",,"4,941,085",,"4,941,085",,"4,810,642","4,941,805",,"4,942,538","4,943,283",,"4,944,042"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0500 Public Education,,,,"4,734,596",,"4,941,085",,"4,941,085",,"4,810,642","4,941,805",,"4,942,538","4,943,283",,"4,944,042"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
119 School Athletic Special Revenue Fund,,,,,,,,"4,734,596","4,941,085",,,"4,941,085",,"4,810,642",,"4,941,805",,"4,942,538","4,943,283",,"4,944,042"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,130 Law Library Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,33,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,130 Law Library Fund,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0120 Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12011 Law Library,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"1,187","4,550",,,"4,550",,"1,200",,"1,212",,"1,224","1,236",,"1,249"
,,,,,,,,,,,,,,,,,,,,,
414073 Photo Copying Machine,,,,,,,,"3,347","3,250",,,"3,250",,"3,250",,"3,283",,"3,315","3,348",,"3,382"
,,,,,,,,,,,,,,,,,,,,,
415009 Court Fees - Law Library,,,,,,,,"325,000","270,000",,,"270,000",,"270,000",,"278,100",,"286,443","295,036",,"303,887"
,,,,,,,,,,,,,,,,,,,,,
415118 Library Fines and Fees,,,,,,,,71,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416060 Returned Check Processing Charges,,,,,,,,35,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,0,,,0,,"10,000",,"10,000",,"10,000","10,000",,"10,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 12011,,,,,,,"329,640",,"277,800",,"277,800",,"284,450","292,595",,"300,982","309,621",,"318,518"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0120 Library,,"329,640","277,800",,,"277,800",,"284,450",,"292,595",,"300,982","309,621",,"318,518"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,130 Law Library Fund,,,"329,640","277,800",,,"277,800",,"284,450",,"292,595",,"300,982","309,621",,"318,518"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,142 DEA Seized Property Special Revenue Fund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0062 Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
06029 DEA - Commonwealth's Attorney,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"3,440",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416055 Miscellaneous Revenue,,,,,,,,"4,286",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
422024 Forfeited Asset Sharing Program - Com Atty,,,,,,,,"143,867",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433006 DEA Shared Proceeds Seized,,,,,,,,"86,503",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 06029,,,,,,,"238,096",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
82142 Reserve for Contingencies,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,"200,000",,,"200,000",,"200,000",,"200,000",,"200,000","200,000",,"200,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 82142,,,,,,,0,,"200,000",,"200,000",,"200,000","200,000",,"200,000","200,000",,"200,000"
,,,,,,,,,,,,,,,,,,,,,
,,0062 Commonwealth's Attorney,,,,,,"238,096","200,000",,,"200,000",,"200,000",,"200,000",,"200,000","200,000",,"200,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0090 Police,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
09230 DEA - Oceanfront Closed Circuit TV System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"2,332",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
414034 Interest - Bank Deposits - FASP - Police,,,,,,,,"3,046",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414036 Interest - Bank Deposits - DEA - Police,,,,,,,,755,0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422023 Forfeited Asset Sharing Program - Police,,,,,,,,"447,184",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433006 DEA Shared Proceeds Seized,,,,,,,,"332,654",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 09230,,,,,,,"785,971",,0,,0,,0,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,0090 Police,,"785,971",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
142 DEA Seized Property Special Revenue Fund,,,,,,,,"1,024,067","200,000",,,"200,000",,"200,000",,"200,000",,"200,000","200,000",,"200,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,144 Waste Management Special Revenue Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,34,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,144 Waste Management Special Revenue Fund,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0100 Public Works,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
10331 WM Bureau of Waste Disposal,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415037 Sale - Methane Gas - Trashmore II,,,,,,,,"64,980","65,000",,,"65,000",,"65,000",,"66,950",,"68,959","71,027",,"73,158"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415038 Refuse Disposal Charges - Commercial,,,,,,,,"13,496",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415039 Refuse Disposal Charges - SPSA,,,,,,,,"2,360,450","2,002,350",,,"2,002,350",,"2,194,320",,"2,260,150",,"2,327,954","2,397,793",,"2,469,726"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415299 Household Hazardous Waste Program,,,,,,,,"186,579",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415308 SPSA Reimbursement-Tipping Cap,,,,,,,,"12,177,105","12,744,000",,,"12,744,000",,"9,245,750",,"9,245,750",,"9,245,750","9,245,750",,"9,245,750"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"11,007",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416918 Sale of Metal - Landfill,,,,,,,,"19,364",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10331,,,,,,,"14,832,981",,"14,811,350",,"14,811,350",,"11,505,070","11,572,850",,"11,642,663","11,714,570",,"11,788,635"
,,,,,,,,,,,,,,,,,,,,,
10332 WM Bureau of Waste Collection,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
413070 Yard Debris Trailer,,,,,,,,"181,186","200,000",,,"200,000",,"175,000",,"178,500",,"182,070","185,711",,"189,426"
,,,,,,,,,,,,,,,,,,,,,
414115 Sale of Trash Containers,,,,,,,,"124,177","150,000",,,"150,000",,"125,000",,"126,250",,"127,513","128,788",,"130,076"
,,,,,,,,,,,,,,,,,,,,,
415017 Waste Management Fee,,,,,,,,0,"7,000,000",,,"7,000,000",,"14,600,000",,"15,038,000",,"15,489,140","15,953,814",,"16,432,428"
,,,,,,,,,,,,,,,,,,,,,
416086 Sale of Salvage Materials,,,,,,,,"34,818",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10332,,,,,,,"340,181",,"7,350,000",,"7,350,000",,"14,900,000","15,342,750",,"15,798,723","16,268,313",,"16,751,929"
,,,,,,,,,,,,,,,,,,,,,
10333 WM Yard Debris & Hazardous Household Waste,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
415299 Household Hazardous Waste Program,,,,,,,,0,"183,600",,,"183,600",,"240,000",,"247,200",,"254,616","262,254",,"270,122"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10333,,,,,,,0,,"183,600",,"183,600",,"240,000","247,200",,"254,616","262,254",,"270,122"
,,,,,,,,,,,,,,,,,,,,,
10334 WM Recycling,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
422050 Clean Community,,,,,,,,0,"44,000",,,"44,000",,"35,390",,"35,921",,"36,460","37,007",,"37,562"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 10334,,,,,,,0,,"44,000",,"44,000",,"35,390","35,921",,"36,460","37,007",,"37,562"
,,,,,,,,,,,,,,,,,,,,,
,,,,,0100 Public Works,,,"15,173,162","22,388,950",,,"22,388,950",,"26,680,460",,"27,198,720",,"27,732,461","28,282,144",,"28,848,247"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
144 Waste Management Special Revenue Fund,,,,,,,,"15,173,162","22,388,950",,,"22,388,950",,"26,680,460",,"27,198,720",,"27,732,461","28,282,144",,"28,848,247"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,147 Federal Section 8 Program Special Revenue Fund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40101 VASH Vouchers,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433118 Section 8 Vouchers 1995,,,,,,,,"450,040","152,179",,,"152,179",,"162,483",,"162,483",,"162,483","162,483",,"162,483"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40101,,,,,,,"450,040",,"152,179",,"152,179",,"162,483","162,483",,"162,483","162,483",,"162,483"
,,,,,,,,,,,,,,,,,,,,,
40300 Section 8 Operating,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,"5,433","2,033",,,"2,033",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
415272 Portability Fees,,,,,,,,"10,874","15,000",,,"15,000",,"20,733",,"21,355",,"21,996","22,656",,"23,335"
,,,,,,,,,,,,,,,,,,,,,
416324 Client Fraud Fund Recovery,,,,,,,,"17,471","15,000",,,"15,000",,"16,000",,"16,480",,"16,974","17,484",,"18,008"
,,,,,,,,,,,,,,,,,,,,,
433112 Federal Section 8 Administration Assistance,,,,,,,,"1,227,970","1,438,623",,,"1,125,007",,"1,252,387",,"1,252,387",,"1,252,387","1,252,387",,"1,252,387"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433125 Family Self-Sufficiency Grant,,,,,,,,"24,218","48,195",,,"48,195",,"48,435",,"48,435",,"48,435","48,435",,"48,435"
,,,,,,,,,,,,,,,,,,,,,
433127 Federal Section 8 Admin - Vouchers,,,,,,,,"13,167",0,,,0,,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
491001 Specific Fund Reserves,,,,,,,,0,0,,,"331,953",,"192,591",,"192,591",,"192,591","192,591",,"192,591"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40300,,,,,,,"1,299,133",,"1,518,851",,"1,537,188",,"1,530,146","1,531,248",,"1,532,383","1,533,552",,"1,534,756"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
GovMax V5,,,,,,,,,,,,35,,,,,12/6/2013   9:41:44AM - ET,,,,
,,"Revenue Line Item Budget Report grouped by Fund, Department",,,,,,,,,,,,,,,,,,,
City of Virginia Beach,,,,,,,,,,,,,,Fiscal Year 2013,,,,,,,
Account,,,,,,,,FY 2011,FY 2012,,,FY 2012,,FY 2013,,FY 2014,,FY 2015,FY 2016,,FY 2017
,,,,,,,,,,,,,,,,,,,,,
Code,,,,Revenue Description,,,,Actual,Adopted,,,Amended,,Budget,,Budget,,Budget,Budget,,Budget
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,147 Federal Section 8 Program Special Revenue Fund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
40335 Cloverleaf SRO Vouchers,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433118 Section 8 Vouchers 1995,,,,,,,,"87,438","110,664",,,"110,664",,"90,000",,"90,000",,"90,000","90,000",,"90,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40335,,,,,,,"87,438",,"110,664",,"110,664",,"90,000","90,000",,"90,000","90,000",,"90,000"
,,,,,,,,,,,,,,,,,,,,,
40399 Portability Payments,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
433118 Section 8 Vouchers 1995,,,,,,,,"133,222","225,000",,,"225,000",,"500,000",,"500,000",,"500,000","500,000",,"500,000"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40399,,,,,,,"133,222",,"225,000",,"225,000",,"500,000","500,000",,"500,000","500,000",,"500,000"
,,,,,,,,,,,,,,,,,,,,,
40401 Section 8 Vouchers - Housing Choice,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
414001 Interest on Bank Deposits,,,,,,,,0,"8,132",,,"8,132",,0,,0,,0,0,,0
,,,,,,,,,,,,,,,,,,,,,
416324 Client Fraud Fund Recovery,,,,,,,,"18,823","15,000",,,"15,000",,"16,000",,"16,480",,"16,974","17,484",,"18,008"
,,,,,,,,,,,,,,,,,,,,,
433118 Section 8 Vouchers 1995,,,,,,,,"13,760,091","15,103,381",,,"15,103,381",,"14,933,399",,"14,933,399",,"14,933,399","14,933,399",,"14,933,399"
,,,,,,,,,,,,,,,,,,,,,
,,Org Code 40401,,,,,,,"13,778,914",,"15,126,513",,"15,126,513",,"14,949,399","14,949,879",,"14,950,373","14,950,883",,"14,951,407"
,,,,,,,,,,,,,,,,,,,,,
0400 Housing and Neighborhood Preservation,,,,,,,,"15,748,747","17,133,207",,,"17,151,544",,"17,232,028",,"17,233,610",,"17,235,239","17,236,918",,"17,238,646"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
147 Federal Section 8 Program Special Revenue Fund,,,,,,,,"15,748,747","17,133,207",,,"17,151,544",,"17,232,028",,"17,233,610",,"17,235,239","17,236,918",,"17,238,646"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,149 Sheriff's Department Special Revenue Fund,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
